network,file,in_44_comparison,stations,routes,max_reach_km,extreme_a,extreme_b,feed_date,deposited_note,disclosure
San Francisco,sanfrancisco,yes,50,12,76.0,Richmond,Berryessa / North San Jose,2022-02-14,"Has notably high waiting times, when compared to actual schedule, seems a bit on the high side. While Millbrae station is part of the red line during regular service, it becomes the terminus of the yellow line after 9PM. This messes slightly with the shortest path calculations, meaning some shortest paths are much longer than necessary.","fails paper criteria: Antioch and Pittsburg Center are eBART diesel on separate gauge, coded in file as Yellow Line route 1/2"
London,london,yes,261,11,61.8,Upminster Underground Station,Chesham Underground Station,2017-01-02,"Added shape_id as a possible direction indicator, correctness not guaranteed. There seem to be some express trains on the Metropolitan line, these were deleted.The 10min walk transfers are merged. Battersea branch of Northern line is missing. The right part of the northern circle of the central (red) line seems to be one-directional, this might be a temporary thing. Kensington station is inaccessible and Gmaps also does not record it, so it's deleted.","undetermined: Metropolitan line beyond Harrow shares corridor with Chiltern, infrastructure ownership not established"
Valencia,valencia,yes,95,79,60.3,Villanueva de Castellón,Llíria,2022-04-19,"On line 3, between Rafelbunyol and Albalat there are multiple edges between nodes with an unclear pattern, for unknown reason. Balien and Xativa are left unmerged as their merged status on the map is because of the tram. The data is programmed with a huge amount of lines even though there are 5 in actuality. This is likely related to trains stopping at earlier stations and express trains etc. Shortest path calculations seem to be able to accomodate for this.","absorbed conversion: lines 1 and 2 ex-FEVE narrow-gauge suburban under FGV, trams absent"
Dubai,dubai,no,53,3,44.0,Etisalat Metro Station 1,UAE Exchange Metro Station 1,2021-12-31,All lines have the same color in the data. The southern branch of the red line is programmed as an extra line and actually operates like that in reality as well. Colors have been manually adjusted to fit the real life colors.,
Washington,washington,yes,89,6,43.2,"LARGO TOWN CENTER, BLUE/SILVER LINE CENTER PLATFORM","WIEHLE-RESTON EAST, SILVER LINE CENTER PLATFORM",2022-01-03,"Shady Grove and Rockville on the red line are present as stations but unconnected to the rest of the graph, this is because of construction to those stations in the chosen period. There's an extra edge on blue line that skips Arlington cemetery, this ruins P-space calculation so edge is deleted, meaning the frequency is lowered with about a vehicle an hour. This is because this station closes at 7PM (bruh) and all trains afterwards skip it",
Chicago,chicago,yes,137,8,39.4,95th,Linden,2022-03-26,"Jackson Red, Jackson Blue and Library are all merged into one. State/Lake, Lake and Washington are merged. Directed edges seem to match up with directed edges on the official map.",
New York,newyork,yes,421,28,37.9,Wakefield-241 St,W 8 St-NY Aquarium,2021-12-20,"Used stop distance 0 for automatic merge, turned merge recommender phase 1 into automatic (with 75% overlap and 0m), skipped phase 2. All subway and out-of-system transfers are merged. E 180 st and Gun hill road, Jamaica and Parsons (F), 7 Av and Jay (FG), 7 Av and Church (FG), Burnside and 167 (4) were deleted. Some weird one-directional stuff with the brown line, northeast. Has been kept in, seems fine.",
Madrid,madrid,yes,240,13,36.3,ARGANDA DEL REY,HOSPITAL DE MOSTOLES,2021-07-20,"Stations with ""long walking transfer distance"" according to the official map, have been merged into one station",
Cairo,cairo,no,61,3,35.0,Helwan,New El-Marg,2016-01-01,Is from 2014 so does not contain the line 3 extensions since then,
Atlanta,atlanta,yes,38,4,34.8,AIRPORT STATION,NORTH SPRINGS STATION,2022-04-22,Notably high waiting times but seems to match up with schedule (about every 20min),
Rotterdam,rotterdam,yes,70,5,32.2,"Hoek van Holland, Hoek van Holland Haven","Capelle ad IJssel, De Terp",2022-04-19,GTFS data manually split to remove all routes other than Rotterdam metro routes.,"absorbed conversion: line B Hoekse Lijn ex-NS to 2017, line E ex-Hofpleinlijn to Den Haag Centraal"
Vancouver,vancouver,yes,52,3,29.9,Lafarge Lake-Douglas Station @ Platform 2,YVR-Airport Station @ Canada Line,2022-01-03,Vancouver City Centre is merged into Granville.,
Berlin,berlin,yes,174,9,29.3,S+U Rathaus Spandau (Berlin),U Hönow (Berlin),2022-05-06,"Node 21101 (Rathaus Schoneberg) is closed for reconstruction and is thus not part of the scheduling. There are three triangles where the metro skips a station in one direction but not the other. These are: Seestrasse (U6), Yorckstrasse (U7) and Augsburgerstrasse (U3).",
Santiago,santiago,no,119,13,29.2,Los Libertadores,Plaza de Puente Alto,2020-09-19,"Has lines that have different routes where trains stop at alternating stations. The line 5 express routes seem to be missing in some directions, not exactly clear. The other two express lines (2 and 4) work fine, 5 seems to miss an express route in one direction.",
Milan,milan,yes,106,4,27.8,GESSATE,ASSAGO MILANOFIORI FORUM,2021-09-07,-,
Toronto,toronto,yes,75,4,27.6,Kipling Station - Subway Platform,McCowan Station - Platform,2022-03-28,-,
Athens,athens,yes,61,3,26.5,ΣΤ.ΑΕΡΟΔΡΟΜΙΟΥ,ΣΤ.ΠΕΙΡΑΙΑ,2017-06-30,"Map is mixed with tram and commuter rail, both of which are not included in analysis. Line 3 extension towards Piraeus is missing, first part was completed in 2020, full connection not finished as of 2022.",fails paper criteria: 4 Line 3 stations east of Doukissis Plakentias on OSE-owned track shared with Proastiakos
Boston,boston,yes,52,3,26.3,Braintree,Oak Grove,2022-04-15,"The green line and mattapan line are included in the system as a subway line but are technically a light rail line, as such are not included in the official analysis. Park st and Dt crossing are left unmerged as the green line is not present.",
Cleveland,cleveland,yes,18,1,24.9,AIRPORT STATION,STOKES-WINDERMERE STATION,2022-03-21,Only red line is included as green and blue line are light-rail.,
Hyderabad,hyderabad,no,56,3,24.7,L. B. Nagar,Miyapur,2022-01-02,-,
Oslo,oslo,yes,101,5,24.7,Kolsås,Vestli,2017-06-16,"Gulerasen is skipped in southbound direction (as indicated by official map). There are some P-space edges with extremely low frequency that do not appear on the map. These seem to be from end-of-day trains that take alternative routes. This messes up P-space calculation slightly, meaning the shortest paths average is about 3min too long.",
Rome,rome,yes,73,4,24.7,Battistini,Monte Compatri/Pantano,2022-04-19,GTFS did not contain colors so backup colors were used.,
Helsinki,helsinki,yes,25,4,23.0,Matinkylä,Vuosaari,2022-04-14,-,
Stockholm,stockholm,yes,101,7,22.4,Farsta strand,Akalla,2022-02-21,"For some unclear reason, the ghost station Kymlinge is included in the data, including the trips/routes. The way this data is programmed causes similar problems as for Oslo.",
