city,route_id,line_local,line_en,operator,operator_source,technology,legal_class,mode,n_stations,is_loop,length_km_greatcircle,in_vehicle_min_sum,commercial_speed_proxy_kmh,trains_per_hour,headway_min,headway_source,constant_fill_share,speed_proxy_reliable,T1_uitp_line_criteria,T2_designated_urban_system,T3_scope,T3_basis,fare_flag,verdict,shares_line_with_routes,name_source,assignment_confidence,amap_line_id,note,technology_source,train_formation,capacity_per_train,capacity_class_national
Beijing,1,1号线八通线,1号线八通线,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,37,False,102.6,178.0,34.6,13.16,4.6,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 35 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023110,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,2,2号线,Line 2,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,18,True,43.6,90.0,29.1,10.87,5.5,inherited_from_trunk,0.0,True,pass,pass,urban,speed proxy 29 km/h at or below 60,,include,3,Amap topology match 2026-08-21,high,110100023098,"same line name as route(s) 3: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,3,2号线,Line 2,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,18,True,43.6,90.0,29.1,10.87,5.5,inherited_from_trunk,0.0,True,pass,pass,urban,speed proxy 29 km/h at or below 60,,include,2,Amap topology match 2026-08-21,high,110100023098,"same line name as route(s) 2: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,4,4号线大兴线,4号线大兴线,北京京港地铁有限公司 / Beijing MTR Corporation Limited,memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,35,False,93.7,164.0,34.3,13.99,4.3,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 34 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023076,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,5,5号线,Line 5,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,23,False,53.4,102.0,31.4,13.97,4.3,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023100,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,6,7号线,Line 7,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,30,False,75.6,138.0,32.9,8.63,7.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 33 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023054,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,7,8号线,Line 8,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,35,False,91.5,170.0,32.3,10.82,5.5,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 32 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023114,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,8,9号线,Line 9,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,13,False,30.6,62.0,29.6,11.95,5.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 30 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023116,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,9,10号线,Line 10,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,45,True,109.6,210.0,31.3,17.39,3.4,inherited_from_trunk,0.0,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,10,Amap topology match 2026-08-21,high,110100023282,"same line name as route(s) 10: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,10,10号线,Line 10,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,45,True,109.6,210.0,31.3,17.39,3.4,inherited_from_trunk,0.0,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,9,Amap topology match 2026-08-21,high,110100023282,"same line name as route(s) 9: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,11,11号线,Line 11,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,4,False,5.7,18.0,19.1,5.63,10.7,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 19 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000159716,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,12,12号线,Line 12,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,20,False,52.9,102.0,31.1,9.34,6.4,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000077547,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,13,13号线,Line 13,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,17,False,75.9,116.0,39.3,9.16,6.6,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 39 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100033066,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,14,14号线,Line 14,北京京港地铁有限公司 / Beijing MTR Corporation Limited,memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,36,False,88.8,164.0,32.5,9.74,6.2,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 33 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000028907,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,15,15号线,Line 15,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,20,False,76.9,116.0,39.8,10.0,6.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 40 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023070,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
